[E 260405 20:39:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 20:40:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '05MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 20:40:28 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 20:40:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29DEC2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:44:55 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:44:56 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29DEC2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:44:58 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29JUN2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:44:59 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '21APR2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:45:00 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '28APR2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:45:01 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '05MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:45:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '30MAR2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:45:31 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29JUN2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:46:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '30MAR2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:46:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29JUN2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:46:40 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '30MAR2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:46:41 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29JUN2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:47:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '30MAR2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:47:15 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29JUN2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:47:46 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '30MAR2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260405 23:47:47 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:5b:ad:07:c9:4a', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29JUN2027'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
